爬山,páshān,hiking; mountaineering; to climb a mountain; to mountaineer
发,fā,classifier for gunshots (rounds); to develop; to issue; to make a bundle of money; to send out; to show (one's feeling)
发,fà,hair
树,shù,to cultivate; to set up; tree
图书馆,túshūguǎn,library
文化,wénhuà,civilization; cultural; culture
成绩,chéngjì,achievement; grades; performance records
老,lǎo,(of meat etc) tough; all the time; always; experienced; of long standing; of the past; old (of people); outdated; prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; venerable (person); very
比较,bǐjiào,comparatively; comparison; quite; relatively; to compare; to contrast
中间,zhōngjiān,during; in the meantime; in the middle; within; between; among; the middle; the inside
机会,jīhuì,chance; occasion; opportunity
清楚,qīngchu,clear; distinct; to be clear about; to understand thoroughly
胖,pàng,fat; plump
胖,pán,at ease; healthy
用,yòng,expense or outlay; hence; therefore; to eat or drink; to employ; to have to; to use; usefulness
讲,jiǎng,as far as sth is concerned; lecture; speech; to be particular about; to emphasize; to explain; to negotiate; to speak
完成,wánchéng,to complete; to accomplish
试,shì,examination; experiment; test; to test; to try
更,gēng,one of the five two-hour periods into which the night was formerly divided; to change or replace; to experience; watch (e.g. of a sentry or guard)
更,gèng,even more; further; more; still; still more
洗澡,xǐzǎo,to bathe; to take a shower
经理,jīnglǐ,director; manager
西,Xī,Spanish; the West
西,xī,west
奶奶,nǎinai,(coll.) boobies; (informal) grandma (paternal grandmother); (respectful) mistress of the house; breasts
照相机,zhàoxiàngjī,camera
楼,lóu,floor; house with more than 1 story; storied building
附近,fùjìn,(in the) vicinity (of); neighborhood; nearby; neighboring
月亮,yuèliang,the moon
熊猫,xióngmāo,panda
水平,shuǐpíng,horizontal; level (of achievement etc); standard
又,yòu,(once) again; (used for emphasis) anyway; also; and yet; both... and...
笔记本,bǐjìběn,notebook (computing); notebook (stationery)
长,cháng,always; constantly; forever; length; long
长,zhǎng,chief; elder; head; to develop; to enhance; to grow; to increase
耳朵,ěrduo,ear; handle (on a cup)
过,guò,excessively; to celebrate (a holiday); to cross; to get along; to go over; to live; to pass (time); too-
过,guo,(experienced action marker)
季节,jìjié,period; season; time
聊天,liáotiān,to chat; to gossip
遇到,yùdào,to meet; to run into; to come across
久,jiǔ,(long) duration of time; (long) time
米,mǐ,meter (classifier); rice
发烧,fāshāo,to have a fever; to have a high temperature (from illness)
记得,jìde,to remember
应该,yīnggāi,must; ought to; should
历史,lìshǐ,history
跟,gēn,(of a woman) to marry sb; and (joining two nouns); compared with; heel; to; to follow closely; to go with; towards; with
辆,liàng,classifier for vehicles
年级,niánjí,grade; year (in school, college etc)
同意,tóngyì,to agree; to approve; to consent
有名,yǒumíng,famous; well-known
叔叔,shūshu,father's younger brother; uncle
电子邮件,diànzǐyóujiàn,email
阿姨,āyí,childcare worker; maternal aunt; nursemaid; step-mother; woman of similar age to one's parents (term of address used by child)
蓝,lán,blue; indigo plant
为了,wèile,for; for the purpose of; in order to
以前,yǐqián,ago; before; formerly; previous
爱好,àihào,interest; hobby; to like; to be fond of; to take pleasure in; to be keen on
北方,běifāng,China north of the Yellow River; north; the northern part a country
新闻,xīnwén,news
还,hái,also; as early as; else; even; even more; fairly; in addition; passably (good); still; still in progress; still more; yet
还,huán,to pay back; to return
万,wàn,a great number; ten thousand
饮料,yǐnliào,beverage; drink
教,jiāo,to teach
教,jiào,religion; teaching; to cause; to make; to tell
一直,yīzhí,continuously; always; all the way through; straight (in a straight line)
奇怪,qíguài,odd; strange; to be baffled; to marvel
位,wèi,(physics) potential; classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); classifier for people (honorific); location; place; position; seat
种,zhǒng,classifier for types, kinds, sorts; kind; seed; species; type
种,zhòng,to cultivate; to grow; to plant
突然,tūrán,sudden; abrupt; unexpected
向,xiàng,direction; formerly; orientation; shortly before; to; to face; to turn toward; towards
向,xiàng,to guide; to tend toward
向,xiàng,(suffix) suitable for ...; all along; always; direction; formerly; oriented to ...; shortly before; to face; to side with; to support; to turn towards; towards
地方,dìfang,area; place; room; space; territory
地方,dìfāng,local; region; regional (away from the central administration)
分,fèn,component; ingredient; part; share
分,fēn,(bound form) branch of (an organization); sub- (as in 分局[fen1 ju2]); 0.01 yuan (unit of money); a point (in sports or games); fraction; minute (angular measurement unit); minute (unit of time); one tenth (of certain units); to distinguish (good and bad); to distribute; to allocate; to divide; to separate; unit of length equivalent to 0.33 cm
游戏,yóuxì,game; to play
感兴趣,gǎnxìngqù,to be interested
班,bān,(military) squad; classifier for groups of people and scheduled transport vehicles; team; class; grade; work shift
音乐,yīnyuè,music
体育,tǐyù,physical education; sports
关于,guānyú,a matter of; about; concerning; pertaining to; with regard to
只,zhī,classifier for birds and certain animals, one of a pair, some utensils, vessels etc
只,zhī,grain that has begun to ripen
只,zhǐ,but; just; merely; only
难,nán,difficult; difficult (to...); difficulty; not good; problem
难,nàn,disaster; distress; to scold
条,tiáo,article; classifier for long thin things (ribbon, river, road, trousers etc); clause (of law or treaty); item; strip
关心,guānxīn,to be concerned about; to care about
段,duàn,classifier for stories, periods of time, lengths of thread etc; paragraph; section; segment; stage (of a process)
作业,zuòyè,homework; operation; school assignment; task; to operate; work
故事,gùshì,old practice
故事,gùshi,narrative; story; tale
见面,jiànmiàn,to meet; to see each other
请假,qǐngjià,to request leave of absence
同事,tóngshì,colleague; co-worker
渴,kě,thirsty
上网,shàngwǎng,(of a document etc) to be uploaded to the Internet; (tennis, volleyball etc) to move in close to the net; to connect to the Internet; to go online
可爱,kěài,adorable; cute; lovely
离开,líkāi,to depart; to leave
复习,fùxí,revision; to review
站,zhàn,branch of a company or organization; station; to halt; to stand; to stop; website
