鸡蛋,jīdàn,(chicken) egg; hen's egg
门,mén,(religious) sect; (suffix) -gate (i.e. scandal; derived from Watergate); category; class; classifier for large guns; classifier for lessons, subjects, branches of technology; door; doorway; family; gate; gateway; house; knack; opening; phylum or division (taxonomy); school (of thought); switch; valve; way to do something
慢,màn,slow
百,bǎi,all kinds of; hundred; numerous
问,wèn,to ask; to inquire
铅笔,qiānbǐ,(lead) pencil
吧,bā,(onom.) bang; bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc)
吧,ba,(modal particle indicating suggestion or surmise); ...I presume.; ...OK?; ...right?
吧,biā,(onom.) smack!
晚上,wǎnshang,evening; in the evening; night
男,nán,Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; male
阴,yīn,Yin (the negative principle of Yin and Yang); cloudy; feminine; genitalia; hidden; implicit; moon; negative (electric.); overcast (weather); shady
笑,xiào,to laugh at; to laugh; to smile
卖,mài,to betray; to sell; to show off or flaunt; to spare no effort
开始,kāishǐ,beginning; initial; to begin; to start
零,líng,(in mathematics) remainder (after division); (placed between two numbers to indicate a smaller quantity followed by a larger one); extra; fraction; fractional; fragmentary; nought; odd (of numbers); to wither; to wither and fall; zero; zero sign
生日,shēngrì,birthday
女,nü,daughter; female; woman
累,lèi,tired; to strain; to wear out; to work hard; weary
累,léi,rope; to bind together; to twist around
累,lěi,continuous; repeated; to accumulate
哥哥,gēge,older brother
药,yào,leaf of the iris
药,yào,drug; medicine; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); to poison
右边,yòubian,right side; right, to the right
妹妹,mèimei,young woman; younger sister
洗,xǐ,to develop (photographs); to erase (a recording); to shuffle (cards etc); to wash; to bathe
羊肉,yángròu,goat meat; mutton
票,piào,amateur performance of Chinese opera; ballot; banknote; classifier for groups, batches, business transactions; person held for ransom; ticket
玩,wán,sth used for amusement; to have fun; to keep sth for entertainment; to play; to trifle with; toy
黑,hēi,(loanword) to hack (computing); black; dark; illegal; secret; shady; sinister; to hide (sth) away; to vilify
报纸,bàozhǐ,newspaper; newsprint
